"Time","POST /login (SRinT)","POST /login (SR)"
2023-07-13 12:01:10,0.500,0.500
2023-07-13 12:01:15,0.500,0.500
2023-07-13 12:01:20,0.300,0.300
2023-07-13 12:01:25,0.300,0.300
2023-07-13 12:01:30,0.200,0.300
2023-07-13 12:01:35,0.200,0.300
2023-07-13 12:01:40,0.100,0.100
2023-07-13 12:01:45,0.100,0.100
2023-07-13 12:01:50,0.100,0.100
2023-07-13 12:01:55,0.100,0.100
2023-07-13 12:02:00,0.300,0.500
2023-07-13 12:02:05,0.300,0.500
2023-07-13 12:02:10,0.200,0.200
2023-07-13 12:02:15,0.200,0.200
2023-07-13 12:02:20,0.300,0.300
2023-07-13 12:02:25,0.300,0.300
2023-07-13 12:02:30,0.400,0.400
2023-07-13 12:02:35,0.400,0.400
2023-07-13 12:02:40,0.300,0.300
2023-07-13 12:02:45,0.300,0.300
2023-07-13 12:02:50,0.600,0.600
2023-07-13 12:02:55,0.600,0.600
2023-07-13 12:03:00,0.200,0.300
2023-07-13 12:03:05,0.200,0.300
2023-07-13 12:03:10,0.300,0.300
2023-07-13 12:03:15,0.300,0.300
2023-07-13 12:03:20,0.500,0.500
2023-07-13 12:03:25,0.500,0.500
2023-07-13 12:03:30,0.300,0.300

