"Time","POST /login (SRinT)","POST /login (SR)"
2023-07-12 23:22:30,0.300,0.300
2023-07-12 23:22:35,0.300,0.300
2023-07-12 23:22:40,0.300,0.500
2023-07-12 23:22:45,0.300,0.500
2023-07-12 23:23:00,0.200,0.200
2023-07-12 23:23:05,0.200,0.200
2023-07-12 23:23:10,0.300,0.300
2023-07-12 23:23:15,0.300,0.300
2023-07-12 23:23:20,0.300,0.300
2023-07-12 23:23:25,0.300,0.300
2023-07-12 23:23:30,0.400,0.400
2023-07-12 23:23:35,0.400,0.400
2023-07-12 23:23:40,0.500,0.500
2023-07-12 23:23:45,0.500,0.500
2023-07-12 23:23:50,0.600,0.600
2023-07-12 23:23:55,0.600,0.600
2023-07-12 23:24:00,0.500,0.500
2023-07-12 23:24:05,0.500,0.500
2023-07-12 23:24:10,0.500,0.500
2023-07-12 23:24:15,0.500,0.500
2023-07-12 23:24:20,0.500,0.500
2023-07-12 23:24:25,0.500,0.500
2023-07-12 23:24:30,0.500,0.500
2023-07-12 23:24:35,0.500,0.500
2023-07-12 23:24:40,0.600,0.600
2023-07-12 23:24:45,0.600,0.600
2023-07-12 23:24:50,0.400,0.400

