"Time","POST /login (SRinT)","POST /login (SR)"
2023-07-17 00:05:20,0.600,0.600
2023-07-17 00:05:30,0.500,0.500
2023-07-17 00:05:40,1,1
2023-07-17 00:05:50,0.600,0.600
2023-07-17 00:06:00,0.500,0.500
2023-07-17 00:06:10,0.400,0.400
2023-07-17 00:06:20,0.800,0.800
2023-07-17 00:06:30,0.500,0.500
2023-07-17 00:06:40,0.600,0.600
2023-07-17 00:06:50,0.100,0.100
2023-07-17 00:07:00,0.600,0.600
2023-07-17 00:07:10,0.500,0.500
2023-07-17 00:07:20,0.600,0.600
2023-07-17 00:07:30,0.500,0.500
2023-07-17 00:07:40,0.300,0.300
2023-07-17 00:07:50,0.600,0.600
2023-07-17 00:08:00,0.800,0.800
2023-07-17 00:08:10,0.400,0.400
2023-07-17 00:08:20,0.500,0.500
2023-07-17 00:08:30,0.300,0.300
2023-07-17 00:08:40,0.700,0.700
2023-07-17 00:08:50,0.300,0.300
2023-07-17 00:09:00,0.200,0.200
2023-07-17 00:09:10,0.300,0.300
2023-07-17 00:09:20,0.400,0.400
2023-07-17 00:09:30,0.300,0.300
2023-07-17 00:09:40,0.300,0.300
2023-07-17 00:09:50,0.700,0.700
2023-07-17 00:10:00,0.500,0.500
2023-07-17 00:10:10,1,1
2023-07-17 00:10:20,0.200,0.200
2023-07-17 00:10:30,0.500,0.500
2023-07-17 00:10:40,0.100,0.100
2023-07-17 00:10:50,0.400,0.400
2023-07-17 00:11:00,0.300,0.300
2023-07-17 00:11:10,0.700,0.700
2023-07-17 00:11:20,0.200,0.200
2023-07-17 00:11:30,0.900,0.900
2023-07-17 00:11:40,0.200,0.200
2023-07-17 00:11:50,0.800,0.800
2023-07-17 00:12:00,0.300,0.300
2023-07-17 00:12:10,0.200,0.200
2023-07-17 00:12:20,0.500,0.500
2023-07-17 00:12:30,0.400,0.400
2023-07-17 00:12:40,0.800,0.800
2023-07-17 00:12:50,0.800,0.800
2023-07-17 00:13:00,0.300,0.300
2023-07-17 00:13:10,0.300,0.300
2023-07-17 00:13:20,0.200,0.200
2023-07-17 00:13:30,0.500,0.500
2023-07-17 00:13:40,0.400,0.400
2023-07-17 00:13:50,0.400,0.400
2023-07-17 00:14:00,0.300,0.300
2023-07-17 00:14:10,0.600,0.600
2023-07-17 00:14:20,0.300,0.300
2023-07-17 00:14:30,0.600,0.600
2023-07-17 00:14:40,0.600,0.600
2023-07-17 00:14:50,0.300,0.300
2023-07-17 00:15:00,0.500,0.500
2023-07-17 00:15:10,0.400,0.400
2023-07-17 00:15:20,0.600,0.600
2023-07-17 00:15:30,0.800,0.800
2023-07-17 00:15:40,0.900,0.900
2023-07-17 00:15:50,0.500,0.500
2023-07-17 00:16:00,0.500,0.500
2023-07-17 00:16:10,0.600,0.600
2023-07-17 00:16:20,0.200,0.200
2023-07-17 00:16:30,0.400,0.400
2023-07-17 00:16:40,0.300,0.300
2023-07-17 00:16:50,0.400,0.400
2023-07-17 00:17:00,0.500,0.500
2023-07-17 00:17:10,0.600,0.600
2023-07-17 00:17:20,0.500,0.500
2023-07-17 00:17:30,0.500,0.500
2023-07-17 00:17:40,0.300,0.300
2023-07-17 00:17:50,0.600,0.600
2023-07-17 00:18:00,0.100,0.100
2023-07-17 00:18:10,0.500,0.500
2023-07-17 00:18:20,0.200,0.200
