"Time","POST /login (SRinT)","POST /login (SR)"
2023-07-18 06:31:00,0.400,0.400
2023-07-18 06:31:10,0.600,0.600
2023-07-18 06:31:20,0.500,0.500
2023-07-18 06:31:30,0.200,0.200
2023-07-18 06:31:40,0.800,0.800
2023-07-18 06:31:50,0.500,0.500
2023-07-18 06:32:00,0.300,0.300
2023-07-18 06:32:10,0.700,0.700
2023-07-18 06:32:20,0.500,0.500
2023-07-18 06:32:30,0.700,0.700
2023-07-18 06:32:40,0.300,0.300
2023-07-18 06:32:50,0.700,0.700
2023-07-18 06:33:00,0.600,0.600
2023-07-18 06:33:10,0.300,0.300
2023-07-18 06:33:20,0.300,0.300
2023-07-18 06:33:30,0.500,0.500
2023-07-18 06:33:40,0.500,0.500
2023-07-18 06:33:50,0.500,0.500
2023-07-18 06:34:00,0.400,0.400
2023-07-18 06:34:10,0.500,0.500
2023-07-18 06:34:20,0.400,0.400
2023-07-18 06:34:30,0.300,0.300
2023-07-18 06:34:40,0.700,0.800
2023-07-18 06:34:50,0.500,0.500
2023-07-18 06:35:00,0.200,0.200
2023-07-18 06:35:10,0.300,0.300
2023-07-18 06:35:20,0.500,0.500
2023-07-18 06:35:30,0.800,0.800
2023-07-18 06:35:40,1.40,1.40
2023-07-18 06:35:50,0.500,0.500
2023-07-18 06:36:00,0.500,0.500
2023-07-18 06:36:10,0.100,0.100
2023-07-18 06:36:20,0.500,0.500
2023-07-18 06:36:30,0.600,0.600
2023-07-18 06:36:40,0.600,0.600
2023-07-18 06:36:50,0.500,0.500
2023-07-18 06:37:00,0.500,0.500
2023-07-18 06:37:10,0.700,0.700
2023-07-18 06:37:20,0.700,0.700
2023-07-18 06:37:30,0.100,0.100
2023-07-18 06:37:40,0.700,0.700
2023-07-18 06:37:50,0.300,0.300
2023-07-18 06:38:00,0.600,0.600
2023-07-18 06:38:10,0.600,0.600
2023-07-18 06:38:20,0.700,0.700
2023-07-18 06:38:30,0.300,0.300
2023-07-18 06:38:40,0.400,0.400
2023-07-18 06:38:50,0.600,0.600
2023-07-18 06:39:00,0.200,0.200
2023-07-18 06:39:10,0.300,0.300
2023-07-18 06:39:20,0.500,0.500
2023-07-18 06:39:30,0.400,0.400
2023-07-18 06:39:40,0.400,0.400
2023-07-18 06:39:50,0.800,0.800
2023-07-18 06:40:00,0.200,0.200
2023-07-18 06:40:10,0.700,0.700
2023-07-18 06:40:20,0.300,0.300
2023-07-18 06:40:30,0.200,0.200
2023-07-18 06:40:40,0.300,0.300
2023-07-18 06:40:50,0.900,0.900
2023-07-18 06:41:00,0.400,0.400
2023-07-18 06:41:10,0.700,0.700
