"Time","POST /login (SRinT)","POST /login (SR)"
2023-07-19 14:45:20,0.700,0.700
2023-07-19 14:45:25,0.700,0.700
2023-07-19 14:45:30,0.600,0.700
2023-07-19 14:45:35,0.600,0.700
2023-07-19 14:45:40,0.400,0.400
2023-07-19 14:45:45,0.400,0.400
2023-07-19 14:45:50,0.600,0.800
2023-07-19 14:45:55,0.600,0.800
2023-07-19 14:46:00,0.400,0.400
2023-07-19 14:46:05,0.400,0.400
2023-07-19 14:46:10,0.400,0.500
2023-07-19 14:46:15,0.400,0.500
2023-07-19 14:46:20,0.300,0.300
2023-07-19 14:46:25,0.300,0.300
2023-07-19 14:46:30,0.400,0.600
2023-07-19 14:46:35,0.400,0.600
2023-07-19 14:46:40,0.400,0.400
2023-07-19 14:46:45,0.400,0.400
2023-07-19 14:46:50,0.500,0.500
2023-07-19 14:46:55,0.500,0.500
2023-07-19 14:47:00,0.300,0.300
2023-07-19 14:47:05,0.300,0.300
2023-07-19 14:47:10,0.400,0.400
2023-07-19 14:47:15,0.400,0.400
2023-07-19 14:47:20,0.300,0.500
2023-07-19 14:47:25,0.300,0.500
2023-07-19 14:47:30,0.600,0.700
2023-07-19 14:47:35,0.600,0.700
2023-07-19 14:47:40,0.200,0.400
2023-07-19 14:47:45,0.200,0.400
2023-07-19 14:47:50,0.500,0.600
2023-07-19 14:47:55,0.500,0.600
2023-07-19 14:48:00,0.300,0.300
2023-07-19 14:48:05,0.300,0.300
2023-07-19 14:48:10,0.600,0.600
2023-07-19 14:48:15,0.600,0.600
2023-07-19 14:48:20,0.400,0.400
2023-07-19 14:48:25,0.400,0.400
2023-07-19 14:48:30,0.400,0.400
2023-07-19 14:48:35,0.400,0.400
2023-07-19 14:48:40,0.400,0.400
2023-07-19 14:48:45,0.400,0.400
2023-07-19 14:48:50,0.600,0.600
2023-07-19 14:48:55,0.600,0.600
2023-07-19 14:49:00,0.600,0.600
2023-07-19 14:49:05,0.600,0.600
2023-07-19 14:49:10,0.300,0.300
2023-07-19 14:49:15,0.300,0.300
2023-07-19 14:49:20,0.400,0.400
2023-07-19 14:49:25,0.400,0.400
2023-07-19 14:49:30,0.100,0.100
2023-07-19 14:49:35,0.100,0.100
2023-07-19 14:49:40,0.200,0.200
2023-07-19 14:49:45,0.200,0.200
2023-07-19 14:49:50,0.200,0.200
2023-07-19 14:49:55,0.200,0.200
2023-07-19 14:50:00,0.100,0.100
2023-07-19 14:50:05,0.100,0.100
2023-07-19 14:50:10,0.500,0.500
2023-07-19 14:50:15,0.500,0.500
2023-07-19 14:50:20,0.400,0.400
2023-07-19 14:50:25,0.400,0.400
2023-07-19 14:50:30,0.800,0.800
2023-07-19 14:50:35,0.800,0.800
2023-07-19 14:50:40,0.500,0.500
2023-07-19 14:50:45,0.500,0.500
2023-07-19 14:50:50,0.700,0.700
2023-07-19 14:50:55,0.700,0.700
2023-07-19 14:51:00,0.200,0.200
2023-07-19 14:51:05,0.200,0.200
2023-07-19 14:51:10,0.300,0.300
2023-07-19 14:51:15,0.300,0.300
2023-07-19 14:51:20,1,1
2023-07-19 14:51:25,1,1
2023-07-19 14:51:30,0.600,0.600
2023-07-19 14:51:35,0.600,0.600
2023-07-19 14:51:40,0.200,0.200
2023-07-19 14:51:45,0.200,0.200
2023-07-19 14:51:50,0.700,0.700
2023-07-19 14:51:55,0.700,0.700
2023-07-19 14:52:00,0.800,0.800
2023-07-19 14:52:05,0.800,0.800
2023-07-19 14:52:10,0.300,0.400
2023-07-19 14:52:15,0.300,0.400
2023-07-19 14:52:20,0.700,0.700
2023-07-19 14:52:25,0.700,0.700
2023-07-19 14:52:30,0.700,0.700
2023-07-19 14:52:35,0.700,0.700
