"Time","GET /login 20ms","GET /signup 20ms","POST /logout 20ms","GET / 30ms","GET /home 30ms","POST /deposit 300ms","POST /payment 300ms","POST /login 2000ms","POST /signup 3000ms"
2023-07-18 00:55:20,100%,,100%,100%,100%,100%,100%,100%,100%
2023-07-18 00:55:30,100%,100%,100%,100%,96.9%,100%,100%,88.9%,100%
2023-07-18 00:55:40,100%,100%,100%,100%,100%,100%,100%,63.6%,
2023-07-18 00:55:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 00:56:00,100%,100%,100%,100%,95%,100%,100%,100%,100%
2023-07-18 00:56:10,100%,100%,,83.3%,100%,100%,100%,75.0%,100%
2023-07-18 00:56:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 00:56:30,100%,100%,100%,100%,100%,100%,100%,80%,
2023-07-18 00:56:40,100%,100%,,100%,100%,100%,100%,90%,100%
2023-07-18 00:56:50,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 00:57:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 00:57:10,100%,100%,100%,100%,100%,100%,100%,85.7%,100%
2023-07-18 00:57:20,100%,100%,,100%,96.9%,100%,100%,100%,100%
2023-07-18 00:57:30,100%,,100%,100%,100%,100%,100%,100%,100%
2023-07-18 00:57:40,100%,,,100%,97.1%,100%,100%,77.8%,
2023-07-18 00:57:50,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 00:58:00,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 00:58:10,100%,100%,100%,100%,100%,100%,100%,90.0%,
2023-07-18 00:58:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 00:58:30,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 00:58:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 00:58:50,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 00:59:00,100%,,,100%,100%,100%,100%,100%,100%
2023-07-18 00:59:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 00:59:20,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 00:59:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 00:59:40,100%,,,100%,100%,100%,100%,100%,
2023-07-18 00:59:50,100%,,,100%,100%,100%,100%,100%,
2023-07-18 01:00:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 01:00:10,100%,,,80%,100%,100%,100%,100%,
2023-07-18 01:00:20,100%,,,100%,100%,100%,100%,71.4%,
2023-07-18 01:00:30,100%,100%,100%,100%,100%,100%,100%,50%,
2023-07-18 01:00:40,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 01:00:50,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 01:01:00,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 01:01:10,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 01:01:20,100%,100%,100%,100%,96.7%,100%,100%,100%,100%
2023-07-18 01:01:30,100%,100%,100%,85.7%,100%,100%,100%,100%,
2023-07-18 01:01:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 01:01:50,100%,,,100%,94.7%,100%,100%,100%,100%
2023-07-18 01:02:00,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 01:05:10,100%,100%,,,,,,,
2023-07-18 01:05:20,100%,100%,,,,,,,
2023-07-18 01:05:30,100%,100%,,,78.5%,62.1%,,,100%
2023-07-18 01:05:40,100%,,,92.9%,91.7%,75.0%,100%,100%,100%
2023-07-18 01:05:50,,,,84.6%,81.5%,100%,100%,100%,
2023-07-18 01:06:00,,,,100%,100%,100%,100%,87.5%,
2023-07-18 01:06:10,100%,100%,100%,100%,100%,92.7%,100%,100%,100%
2023-07-18 01:06:20,,,,100%,100%,100%,100%,100%,100%
2023-07-18 01:06:30,100%,100%,100%,100%,95.7%,100%,100%,100%,
2023-07-18 01:06:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 01:06:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 01:07:00,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 01:07:10,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 01:07:20,100%,,100%,100%,96.0%,100%,100%,100%,100%
2023-07-18 01:07:30,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 01:07:40,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 01:07:50,100%,100%,100%,88.9%,100%,100%,100%,100%,
2023-07-18 01:08:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 01:08:10,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 01:08:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 01:08:30,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 01:08:40,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 01:08:50,,,,100%,97.1%,100%,100%,100%,
2023-07-18 01:09:00,,,,100%,100%,100%,100%,100%,
2023-07-18 01:09:10,100%,100%,100%,100%,100%,100%,100%,100%,
