"Time","POST /login (SRinT)","POST /login (SR)"
2023-07-16 10:05:20,0.300,0.300
2023-07-16 10:05:30,1,1
2023-07-16 10:05:40,1,1
2023-07-16 10:05:50,1.40,1.90
2023-07-16 10:06:00,1.20,1.20
2023-07-16 10:06:10,1.50,1.60
2023-07-16 10:06:20,1.20,1.20
2023-07-16 10:06:30,1.20,1.50
2023-07-16 10:06:40,1.30,1.30
2023-07-16 10:06:50,1.20,1.20
2023-07-16 10:07:00,1.60,1.60
2023-07-16 10:07:10,0.900,0.900
2023-07-16 10:07:20,1.40,1.40
2023-07-16 10:07:30,1.29,1.29
2023-07-16 10:07:40,1.51,1.71
2023-07-16 10:07:50,1.60,1.60
2023-07-16 10:08:00,1.20,1.30
2023-07-16 10:08:10,0.400,0.400
2023-07-16 10:08:20,0.300,0.300
2023-07-16 10:08:30,0.500,0.500
2023-07-16 10:08:40,0.700,0.700
2023-07-16 10:08:50,0.400,0.400
2023-07-16 10:09:00,0.200,0.200
2023-07-16 10:09:10,0.400,0.400
2023-07-16 10:09:20,0.400,0.400
2023-07-16 10:09:30,0.600,0.600
2023-07-16 10:09:40,0.600,0.600
2023-07-16 10:09:50,0.200,0.200
2023-07-16 10:10:00,0.400,0.400
2023-07-16 10:10:10,0.200,0.200
2023-07-16 10:10:20,0.700,0.700
2023-07-16 10:10:30,1,1
2023-07-16 10:10:40,1.20,1.30
2023-07-16 10:10:50,1.40,1.40
2023-07-16 10:11:00,1.30,1.40
2023-07-16 10:11:10,0.900,1
2023-07-16 10:11:20,1,1.20
2023-07-16 10:11:30,1.60,1.60
2023-07-16 10:11:40,1.60,1.60
2023-07-16 10:11:50,1.20,1.20
2023-07-16 10:12:00,1,1
2023-07-16 10:12:10,1.20,1.20
2023-07-16 10:12:20,1.10,1.10
2023-07-16 10:12:30,1.40,1.60
2023-07-16 10:12:40,1.20,1.20
2023-07-16 10:12:50,1.60,1.70
2023-07-16 10:13:00,1.70,1.80
2023-07-16 10:13:10,0.800,1.10
2023-07-16 10:13:20,1,1
2023-07-16 10:13:30,0.400,0.400
2023-07-16 10:13:40,0.300,0.300
2023-07-16 10:13:50,0.400,0.400
2023-07-16 10:14:00,0.500,0.500
2023-07-16 10:14:10,0.700,0.700
2023-07-16 10:14:20,0.800,0.800
2023-07-16 10:14:30,0.300,0.300
2023-07-16 10:14:40,0.500,0.500
2023-07-16 10:14:50,0.800,0.800
2023-07-16 10:15:00,0.700,0.700
2023-07-16 10:15:10,0.300,0.300
2023-07-16 10:15:20,0.600,0.600
2023-07-16 10:15:30,0.200,0.200
2023-07-16 10:15:40,0.100,0.100
2023-07-16 10:15:50,0.100,0.100
2023-07-16 10:16:00,1,1
2023-07-16 10:16:10,0.400,0.400
2023-07-16 10:16:20,0.400,0.400
2023-07-16 10:16:30,0.300,0.300
2023-07-16 10:16:40,0.100,0.100
2023-07-16 10:16:50,0.400,0.400
2023-07-16 10:17:00,0.500,0.500
2023-07-16 10:17:10,0.600,0.600
2023-07-16 10:17:20,0.400,0.400
2023-07-16 10:17:30,1,1
2023-07-16 10:17:50,0.500,0.500
2023-07-16 10:18:00,0.400,0.400
2023-07-16 10:18:10,0.400,0.400
2023-07-16 10:18:20,0.600,0.600
2023-07-16 10:18:30,0.600,0.600
2023-07-16 10:18:40,0.300,0.300
2023-07-16 10:18:50,0.600,0.600
2023-07-16 10:19:00,0.300,0.300
2023-07-16 10:19:10,0.400,0.400
2023-07-16 10:19:20,0.600,0.600
2023-07-16 10:19:30,0.600,0.600
2023-07-16 10:19:40,0.400,0.400
2023-07-16 10:19:50,0.400,0.400
2023-07-16 10:20:00,0.600,0.600
2023-07-16 10:20:10,0.700,0.700
2023-07-16 10:20:20,0.600,0.600
2023-07-16 10:20:30,0.600,0.600
2023-07-16 10:20:40,0.400,0.400
2023-07-16 10:20:50,0.700,0.700
2023-07-16 10:21:00,0.600,0.600
2023-07-16 10:21:10,0.500,0.500
2023-07-16 10:21:20,0.300,0.300
2023-07-16 10:21:30,0.600,0.600
2023-07-16 10:21:40,0.200,0.200
2023-07-16 10:21:50,0.500,0.500
2023-07-16 10:22:00,0.400,0.400
2023-07-16 10:22:10,0.500,0.500
