"Time","POST /login (SRinT)","POST /login (SR)"
2023-07-16 22:05:20,0.500,0.500
2023-07-16 22:05:30,0.200,0.200
2023-07-16 22:05:40,0.400,0.400
2023-07-16 22:05:50,0.500,0.500
2023-07-16 22:06:00,0.500,0.500
2023-07-16 22:06:10,0.800,0.800
2023-07-16 22:06:20,0.500,0.500
2023-07-16 22:06:30,0.300,0.300
2023-07-16 22:06:40,0.200,0.200
2023-07-16 22:06:50,0.500,0.500
2023-07-16 22:07:00,0.600,0.600
2023-07-16 22:07:10,0.400,0.400
2023-07-16 22:07:20,0.400,0.400
2023-07-16 22:07:30,0.500,0.600
2023-07-16 22:07:40,0.600,0.600
2023-07-16 22:07:50,0.700,0.700
2023-07-16 22:08:00,0.700,0.700
2023-07-16 22:08:10,0.300,0.300
2023-07-16 22:08:20,0.500,0.500
2023-07-16 22:08:30,0.700,0.800
2023-07-16 22:08:40,0.700,0.700
2023-07-16 22:08:50,0.700,0.700
2023-07-16 22:09:00,0.300,0.300
2023-07-16 22:09:10,0.700,0.700
2023-07-16 22:09:20,0.600,0.600
2023-07-16 22:09:30,0.300,0.300
2023-07-16 22:09:40,0.100,0.100
2023-07-16 22:09:50,0.600,0.600
2023-07-16 22:10:00,0.300,0.300
2023-07-16 22:10:10,0.500,0.500
2023-07-16 22:10:20,0.700,0.700
2023-07-16 22:10:30,0.700,0.700
2023-07-16 22:10:40,0.500,0.500
2023-07-16 22:10:50,0.300,0.300
2023-07-16 22:11:00,0.300,0.300
2023-07-16 22:11:10,0.300,0.300
2023-07-16 22:11:20,0.300,0.300
2023-07-16 22:11:30,0.600,0.600
2023-07-16 22:11:40,0.300,0.300
2023-07-16 22:11:50,0.700,0.700
2023-07-16 22:12:00,0.300,0.300
2023-07-16 22:12:10,0.500,0.500
2023-07-16 22:12:20,0.600,0.600
2023-07-16 22:12:30,0.200,0.200
2023-07-16 22:12:40,0.500,0.500
2023-07-16 22:12:50,0.100,0.100
2023-07-16 22:13:00,0.700,0.700
2023-07-16 22:13:10,0.400,0.400
2023-07-16 22:13:20,0.400,0.400
2023-07-16 22:13:30,0.600,0.600
2023-07-16 22:13:40,0.400,0.400
2023-07-16 22:13:50,0.300,0.300
2023-07-16 22:14:00,0.200,0.200
2023-07-16 22:14:10,0.200,0.200
2023-07-16 22:14:20,0.400,0.400
2023-07-16 22:14:30,0.400,0.400
2023-07-16 22:14:40,0.200,0.200
2023-07-16 22:14:50,0.300,0.300
2023-07-16 22:15:00,0.400,0.400
2023-07-16 22:15:10,0.500,0.500
2023-07-16 22:15:20,0.200,0.200
2023-07-16 22:15:30,0.500,0.500
2023-07-16 22:15:40,0.200,0.200
2023-07-16 22:15:50,0.400,0.400
2023-07-16 22:16:00,0.500,0.500
2023-07-16 22:16:10,0.600,0.600
2023-07-16 22:16:20,0.300,0.300
2023-07-16 22:16:30,0.500,0.500
2023-07-16 22:16:40,0.300,0.300
2023-07-16 22:16:50,0.500,0.500
2023-07-16 22:17:00,0.100,0.100
2023-07-16 22:17:10,0.300,0.300
2023-07-16 22:17:20,0.100,0.100
2023-07-16 22:17:30,0.400,0.400
2023-07-16 22:17:40,0.700,0.700
2023-07-16 22:17:50,0.400,0.400
2023-07-16 22:18:00,0.100,0.100
2023-07-16 22:18:10,0.900,0.900
2023-07-16 22:18:20,0.600,0.600
2023-07-16 22:18:30,0.700,0.700
2023-07-16 22:18:40,0.700,0.700
2023-07-16 22:18:50,0.700,0.700
2023-07-16 22:19:00,0.500,0.500
2023-07-16 22:19:10,0.400,0.400
2023-07-16 22:19:20,0.600,0.600
2023-07-16 22:19:30,0.400,0.400
2023-07-16 22:19:40,0.500,0.500
2023-07-16 22:19:50,0.400,0.400
2023-07-16 22:20:00,0.200,0.200
2023-07-16 22:20:10,0.500,0.500
