"Time","POST /login (SRinT)","POST /login (SR)"
2023-07-17 19:55:20,0.400,0.500
2023-07-17 19:55:30,0.200,0.200
2023-07-17 19:55:40,0.400,0.400
2023-07-17 19:55:50,0.600,0.600
2023-07-17 19:56:00,0.700,0.700
2023-07-17 19:56:10,0.500,0.500
2023-07-17 19:56:20,0.200,0.200
2023-07-17 19:56:30,0.400,0.400
2023-07-17 19:56:40,0.700,0.700
2023-07-17 19:56:50,0.500,0.500
2023-07-17 19:57:00,0.600,0.600
2023-07-17 19:57:10,0.300,0.300
2023-07-17 19:57:20,0.400,0.400
2023-07-17 19:57:30,0.400,0.400
2023-07-17 19:57:40,0.700,0.700
2023-07-17 19:57:50,0.600,0.600
2023-07-17 19:58:00,0.700,0.800
2023-07-17 19:58:10,0.700,0.700
2023-07-17 19:58:20,0.800,0.800
2023-07-17 19:58:30,0.500,0.500
2023-07-17 19:58:40,0.700,0.700
2023-07-17 19:58:50,0.600,0.600
2023-07-17 19:59:00,0.600,0.700
2023-07-17 19:59:10,0.200,0.200
2023-07-17 19:59:20,0.400,0.400
2023-07-17 19:59:30,0.400,0.400
2023-07-17 19:59:40,0.300,0.400
2023-07-17 19:59:50,0.700,0.700
2023-07-17 20:00:00,0.800,0.800
2023-07-17 20:00:10,0.600,0.600
2023-07-17 20:00:20,0.400,0.400
2023-07-17 20:00:30,0.800,0.800
2023-07-17 20:00:40,0.700,0.700
2023-07-17 20:00:50,0.300,0.300
2023-07-17 20:01:00,0.500,0.500
2023-07-17 20:01:10,0.500,0.600
2023-07-17 20:01:20,0.400,0.400
2023-07-17 20:01:30,0.300,0.300
2023-07-17 20:01:40,0.300,0.300
2023-07-17 20:01:50,0.800,0.800
2023-07-17 20:02:00,0.400,0.400
2023-07-17 20:02:10,0.500,0.500
2023-07-17 20:02:20,0.400,0.400
2023-07-17 20:02:30,0.500,0.500
2023-07-17 20:02:40,0.400,0.400
2023-07-17 20:02:50,0.400,0.400
2023-07-17 20:03:00,0.600,0.600
2023-07-17 20:03:10,0.600,0.600
2023-07-17 20:03:20,0.200,0.200
2023-07-17 20:03:30,0.900,0.900
2023-07-17 20:03:40,0.500,0.500
2023-07-17 20:03:50,0.500,0.500
2023-07-17 20:04:00,0.300,0.300
2023-07-17 20:04:10,0.500,0.500
2023-07-17 20:04:20,0.100,0.100
2023-07-17 20:04:30,0.300,0.300
2023-07-17 20:04:40,0.700,0.700
2023-07-17 20:04:50,0.400,0.500
2023-07-17 20:05:00,0.500,0.500
2023-07-17 20:05:10,0.600,0.600
2023-07-17 20:05:20,0.300,0.300
2023-07-17 20:05:30,0.100,0.100
2023-07-17 20:05:40,0.400,0.400
2023-07-17 20:05:50,0.700,0.700
2023-07-17 20:06:00,0.100,0.100
2023-07-17 20:06:10,0.300,0.300
2023-07-17 20:06:20,0.600,0.600
2023-07-17 20:06:30,0.400,0.400
2023-07-17 20:06:40,0.500,0.500
2023-07-17 20:06:50,0.200,0.300
2023-07-17 20:07:00,0.400,0.400
2023-07-17 20:07:10,0.600,0.600
2023-07-17 20:07:20,0.800,0.800
2023-07-17 20:07:30,0.400,0.400
2023-07-17 20:07:40,0.400,0.400
2023-07-17 20:07:50,0.500,0.500
2023-07-17 20:08:00,0.400,0.400
2023-07-17 20:08:10,0.500,0.500
2023-07-17 20:08:20,0.300,0.300
2023-07-17 20:08:30,0.500,0.500
2023-07-17 20:08:40,0.300,0.300
2023-07-17 20:08:50,0.200,0.200
2023-07-17 20:09:00,0.500,0.500
2023-07-17 20:09:10,0.300,0.300
2023-07-17 20:09:20,0.200,0.200
2023-07-17 20:09:30,0.500,0.500
2023-07-17 20:09:40,0.900,0.900
2023-07-17 20:09:50,0.300,0.300
2023-07-17 20:10:00,0.900,0.900
2023-07-17 20:10:10,0.300,0.300
2023-07-17 20:10:20,0.500,0.500
2023-07-17 20:10:30,0.400,0.400
2023-07-17 20:10:40,0.300,0.400
2023-07-17 20:10:50,0.400,0.400
2023-07-17 20:11:00,0.900,0.900
2023-07-17 20:11:10,0.400,0.400
2023-07-17 20:11:20,0.500,0.700
2023-07-17 20:11:30,0.600,0.600
2023-07-17 20:11:40,0.600,0.800
2023-07-17 20:11:50,0.600,0.600
2023-07-17 20:12:00,0.200,0.200
2023-07-17 20:12:10,0.300,0.300
2023-07-17 20:12:20,0.400,0.400
2023-07-17 20:12:30,0.300,0.300
2023-07-17 20:12:40,0.700,0.800
2023-07-17 20:12:50,0.500,0.500
2023-07-17 20:13:00,0.200,0.200
2023-07-17 20:13:10,0.400,0.500
2023-07-17 20:13:20,0.200,0.200
2023-07-17 20:13:30,0.300,0.300
2023-07-17 20:13:40,0.400,0.400
2023-07-17 20:13:50,0.200,0.200
2023-07-17 20:14:00,0.400,0.400
2023-07-17 20:14:10,0.600,0.600
2023-07-17 20:14:20,0.400,0.400
2023-07-17 20:14:30,0.300,0.300
2023-07-17 20:14:40,0.600,0.600
2023-07-17 20:14:50,0.600,0.600
2023-07-17 20:15:00,0.400,0.400
2023-07-17 20:15:10,0.500,0.500
2023-07-17 20:15:20,0.600,0.600
2023-07-17 20:15:30,0.600,0.600
2023-07-17 20:15:40,0.200,0.200
2023-07-17 20:15:50,0.300,0.300
2023-07-17 20:16:00,0.500,0.500
2023-07-17 20:16:10,0.300,0.300
2023-07-17 20:16:20,0.200,0.200
2023-07-17 20:16:30,0.400,0.400
2023-07-17 20:16:40,0.400,0.400
2023-07-17 20:16:50,0.200,0.200
2023-07-17 20:17:00,0.200,0.200
2023-07-17 20:17:10,0.200,0.200
2023-07-17 20:17:20,0.200,0.400
2023-07-17 20:17:30,0.200,0.200
2023-07-17 20:17:40,0.100,0.100
2023-07-17 20:17:50,0.400,0.500
2023-07-17 20:18:00,0.400,0.400
2023-07-17 20:18:10,0.300,0.300
2023-07-17 20:18:20,0.600,0.600
2023-07-17 20:18:30,0.700,0.700
2023-07-17 20:18:40,0.300,0.300
2023-07-17 20:18:50,0.700,0.700
2023-07-17 20:19:00,0.600,0.600
2023-07-17 20:19:10,0.300,0.400
2023-07-17 20:19:20,0.300,0.300
2023-07-17 20:19:30,0.600,0.800
2023-07-17 20:19:40,0.400,0.400
2023-07-17 20:19:50,0.600,0.700
2023-07-17 20:20:00,0.600,0.600
2023-07-17 20:20:10,0.300,0.400
2023-07-17 20:20:20,0.200,0.200
2023-07-17 20:20:30,0.300,0.300
2023-07-17 20:20:40,0.100,0.100
2023-07-17 20:20:50,0.300,0.300
2023-07-17 20:21:00,0.300,0.300
2023-07-17 20:21:10,0.500,0.500
2023-07-17 20:21:20,0.600,0.600
2023-07-17 20:21:30,0.700,0.700
2023-07-17 20:21:40,0.400,0.400
2023-07-17 20:21:50,0.700,0.700
2023-07-17 20:22:00,0.600,0.600
2023-07-17 20:22:10,0.800,0.800
2023-07-17 20:22:20,0.500,0.500
2023-07-17 20:22:30,0.300,0.300
2023-07-17 20:22:40,0.300,0.300
2023-07-17 20:22:50,0.300,0.300
2023-07-17 20:23:00,0.200,0.200
2023-07-17 20:23:10,0.200,0.200
2023-07-17 20:23:20,0.100,0.100
2023-07-17 20:23:30,0.300,0.300
2023-07-17 20:23:40,0.300,0.300
2023-07-17 20:23:50,0.500,0.500
2023-07-17 20:24:00,0.200,0.200
2023-07-17 20:24:10,0.500,0.500
2023-07-17 20:24:20,0.200,0.200
2023-07-17 20:24:30,0.100,0.200
2023-07-17 20:24:40,0.300,0.300
2023-07-17 20:24:50,0.300,0.300
2023-07-17 20:25:00,0.200,0.200
2023-07-17 20:25:10,0.700,0.700
2023-07-17 20:25:20,0.300,0.300
2023-07-17 20:25:30,0.200,0.200
2023-07-17 20:25:40,0.200,0.200
2023-07-17 20:25:50,0.400,0.400
2023-07-17 20:26:00,0.100,0.100
2023-07-17 20:26:10,0.600,0.700
2023-07-17 20:26:20,0.600,0.600
2023-07-17 20:26:30,0.300,0.300
2023-07-17 20:26:40,0.200,0.200
2023-07-17 20:26:50,0.200,0.200
2023-07-17 20:27:00,0.300,0.300
2023-07-17 20:27:10,0.600,0.600
2023-07-17 20:27:20,0.600,0.600
2023-07-17 20:27:30,0.800,0.800
2023-07-17 20:27:40,1.10,1.10
2023-07-17 20:27:50,0.700,0.700
2023-07-17 20:28:00,0.600,0.600
2023-07-17 20:28:10,0.200,0.200
2023-07-17 20:28:20,0.300,0.300
2023-07-17 20:28:30,0.500,0.500
2023-07-17 20:28:40,0.300,0.300
2023-07-17 20:28:50,0.300,0.300
2023-07-17 20:29:00,0.500,0.500
2023-07-17 20:29:10,0.600,0.600
2023-07-17 20:29:20,0.799,0.799
2023-07-17 20:29:30,0.700,0.700
2023-07-17 20:29:40,0.400,0.400
2023-07-17 20:29:50,0.100,0.400
2023-07-17 20:30:00,0.300,0.300
2023-07-17 20:30:10,0.700,0.700
2023-07-17 20:30:20,0.100,0.200
2023-07-17 20:30:40,0.500,0.600
2023-07-17 20:30:50,0.600,0.600
2023-07-17 20:31:00,0.500,0.500
2023-07-17 20:31:10,0.700,0.700
2023-07-17 20:31:20,0.200,0.200
2023-07-17 20:31:30,0.500,0.500
2023-07-17 20:31:40,0.300,0.300
2023-07-17 20:31:50,0.500,0.500
2023-07-17 20:32:00,0.400,0.400
2023-07-17 20:32:10,0.800,0.800
2023-07-17 20:32:20,0.700,0.700
2023-07-17 20:32:30,0.500,0.500
2023-07-17 20:32:40,0.700,0.700
2023-07-17 20:32:50,0.400,0.400
2023-07-17 20:33:00,0.500,0.500
