"Time","POST /login (SRinT)","POST /login (SR)"
2023-07-16 14:05:20,0.200,0.200
2023-07-16 14:05:30,0.300,0.300
2023-07-16 14:05:40,0.600,0.600
2023-07-16 14:05:50,0.600,0.600
2023-07-16 14:06:00,0.200,0.200
2023-07-16 14:06:10,0.100,0.100
2023-07-16 14:06:20,0.500,0.500
2023-07-16 14:06:30,0.500,0.500
2023-07-16 14:06:40,0.600,0.600
2023-07-16 14:06:50,0.300,0.300
2023-07-16 14:07:00,0.200,0.200
2023-07-16 14:07:10,0.800,0.800
2023-07-16 14:07:20,0.500,0.600
2023-07-16 14:07:30,0.300,0.300
2023-07-16 14:07:40,0.500,0.500
2023-07-16 14:07:50,0.800,0.800
2023-07-16 14:08:00,0.400,0.400
2023-07-16 14:08:10,0.500,0.500
2023-07-16 14:08:20,0.400,0.400
2023-07-16 14:08:30,0.300,0.300
2023-07-16 14:08:40,0.300,0.300
2023-07-16 14:08:50,0.600,0.600
2023-07-16 14:09:00,0.500,0.500
2023-07-16 14:09:10,0.400,0.400
2023-07-16 14:09:20,0.400,0.400
2023-07-16 14:09:30,0.400,0.400
2023-07-16 14:09:40,0.600,0.600
2023-07-16 14:09:50,0.400,0.400
2023-07-16 14:10:00,0.100,0.100
2023-07-16 14:10:10,0.200,0.200
2023-07-16 14:10:20,0.400,0.400
2023-07-16 14:10:30,0.600,0.600
2023-07-16 14:10:40,0.600,0.600
2023-07-16 14:10:50,0.300,0.300
2023-07-16 14:11:00,0.500,0.700
2023-07-16 14:11:10,0.500,0.500
2023-07-16 14:11:20,0.300,0.300
2023-07-16 14:11:30,0.300,0.300
2023-07-16 14:11:40,0.500,0.500
2023-07-16 14:11:50,0.600,0.600
2023-07-16 14:12:00,0.400,0.400
2023-07-16 14:12:10,0.600,0.600
2023-07-16 14:12:20,0.400,0.400
2023-07-16 14:12:30,0.300,0.300
2023-07-16 14:12:40,0.900,0.900
2023-07-16 14:12:50,0.900,0.900
2023-07-16 14:13:00,0.200,0.200
2023-07-16 14:13:10,0.400,0.400
2023-07-16 14:13:20,0.200,0.200
2023-07-16 14:13:30,0.700,0.700
2023-07-16 14:13:40,0.500,0.500
2023-07-16 14:13:50,0.400,0.400
2023-07-16 14:14:00,0.400,0.400
2023-07-16 14:14:10,0.400,0.400
2023-07-16 14:14:20,0.500,0.500
2023-07-16 14:14:30,0.900,0.900
2023-07-16 14:14:40,0.700,0.700
2023-07-16 14:14:50,0.700,0.700
2023-07-16 14:15:00,0.400,0.400
2023-07-16 14:15:10,0.500,0.500
2023-07-16 14:15:20,0.100,0.100
2023-07-16 14:15:30,0.500,0.500
2023-07-16 14:15:40,0.500,0.500
2023-07-16 14:15:50,0.300,0.300
2023-07-16 14:16:00,0.600,0.600
2023-07-16 14:16:10,0.500,0.500
2023-07-16 14:16:20,0.400,0.400
2023-07-16 14:16:30,0.500,0.500
2023-07-16 14:16:40,0.100,0.100
2023-07-16 14:16:50,0.100,0.100
2023-07-16 14:17:00,0.500,0.500
2023-07-16 14:17:10,0.300,0.300
2023-07-16 14:17:20,0.700,0.700
2023-07-16 14:17:30,0.400,0.400
2023-07-16 14:17:40,0.300,0.300
2023-07-16 14:17:50,0.600,0.600
2023-07-16 14:18:00,0.600,0.600
2023-07-16 14:18:10,0.500,0.500
2023-07-16 14:18:20,0.600,0.600
2023-07-16 14:18:30,0.600,0.600
2023-07-16 14:18:40,0.600,0.600
2023-07-16 14:18:50,0.700,0.700
2023-07-16 14:19:00,0.300,0.300
2023-07-16 14:19:10,0.600,0.600
2023-07-16 14:19:20,0.600,0.600
2023-07-16 14:19:30,0.700,0.800
2023-07-16 14:19:40,0.500,0.500
2023-07-16 14:19:50,0.300,0.300
2023-07-16 14:20:00,0.100,0.100
2023-07-16 14:20:10,0.400,0.400
2023-07-16 14:20:20,0.600,0.600
2023-07-16 14:20:30,0.300,0.300
2023-07-16 14:20:40,0.600,0.700
2023-07-16 14:20:50,0.300,0.300
2023-07-16 14:21:00,0.300,0.300
2023-07-16 14:21:10,0.400,0.500
2023-07-16 14:21:20,0.600,0.600
2023-07-16 14:21:30,0.400,0.400
2023-07-16 14:21:40,0.200,0.200
2023-07-16 14:21:50,0.700,0.700
2023-07-16 14:22:00,0.300,0.300
2023-07-16 14:22:10,0.200,0.200
2023-07-16 14:22:20,0.200,0.200
2023-07-16 14:22:30,0.700,0.700
2023-07-16 14:22:40,0.600,0.600
2023-07-16 14:22:50,0.300,0.300
2023-07-16 14:23:00,0.400,0.400
2023-07-16 14:23:10,0.600,0.600
2023-07-16 14:23:20,0.500,0.500
2023-07-16 14:23:30,0.300,0.300
2023-07-16 14:23:40,0.400,0.400
2023-07-16 14:23:50,0.200,0.200
2023-07-16 14:24:00,0.400,0.400
2023-07-16 14:24:10,0.200,0.200
2023-07-16 14:24:30,0.600,0.600
2023-07-16 14:24:40,0.400,0.400
2023-07-16 14:24:50,0.200,0.200
2023-07-16 14:25:00,0.300,0.300
2023-07-16 14:25:10,0.300,0.300
2023-07-16 14:25:20,0.200,0.200
2023-07-16 14:25:30,0.300,0.300
2023-07-16 14:25:40,0.600,0.600
2023-07-16 14:25:50,0.400,0.400
2023-07-16 14:26:00,0.600,0.600
2023-07-16 14:26:10,0.600,0.600
2023-07-16 14:26:20,0.700,0.700
2023-07-16 14:26:30,0.400,0.400
2023-07-16 14:26:40,0.300,0.300
2023-07-16 14:26:50,0.600,0.600
2023-07-16 14:27:00,0.500,0.500
2023-07-16 14:27:10,0.200,0.200
2023-07-16 14:27:20,0.500,0.500
2023-07-16 14:27:30,0.600,0.700
2023-07-16 14:27:40,0.200,0.200
2023-07-16 14:27:50,0.400,0.400
2023-07-16 14:28:00,0.100,0.100
2023-07-16 14:28:10,0.100,0.100
2023-07-16 14:28:20,0.400,0.400
2023-07-16 14:28:30,0.300,0.300
2023-07-16 14:28:40,0.400,0.400
2023-07-16 14:28:50,0.600,0.600
2023-07-16 14:29:00,0.400,0.400
2023-07-16 14:29:10,0.500,0.500
2023-07-16 14:29:20,0.400,0.400
2023-07-16 14:29:30,0.500,0.500
2023-07-16 14:29:40,0.500,0.500
2023-07-16 14:29:50,0.300,0.300
2023-07-16 14:30:00,0.300,0.300
2023-07-16 14:30:10,0.400,0.400
