"Time","POST /login (SRinT)","POST /login (SR)"
2023-07-16 16:05:20,0.600,0.600
2023-07-16 16:05:30,0.400,0.400
2023-07-16 16:05:40,0.400,0.400
2023-07-16 16:05:50,0.300,0.300
2023-07-16 16:06:00,0.400,0.400
2023-07-16 16:06:10,0.300,0.300
2023-07-16 16:06:20,0.700,0.700
2023-07-16 16:06:30,0.300,0.300
2023-07-16 16:06:40,0.200,0.200
2023-07-16 16:06:50,0.200,0.200
2023-07-16 16:07:00,0.300,0.300
2023-07-16 16:07:10,0.500,0.500
2023-07-16 16:07:20,0.700,0.700
2023-07-16 16:07:30,0.400,0.400
2023-07-16 16:07:40,0.300,0.300
2023-07-16 16:07:50,0.400,0.400
2023-07-16 16:08:00,0.300,0.300
2023-07-16 16:08:10,0.300,0.300
2023-07-16 16:08:20,0.500,0.500
2023-07-16 16:08:30,0.200,0.200
2023-07-16 16:08:40,0.600,0.600
2023-07-16 16:08:50,0.400,0.400
2023-07-16 16:09:00,0.600,0.600
2023-07-16 16:09:10,0.700,0.700
2023-07-16 16:09:20,0.200,0.300
2023-07-16 16:09:30,0.700,0.700
2023-07-16 16:09:40,0.400,0.400
2023-07-16 16:09:50,0.500,0.500
2023-07-16 16:10:00,0.300,0.300
2023-07-16 16:10:10,0.900,0.900
2023-07-16 16:10:20,0.300,0.300
2023-07-16 16:10:30,0.800,0.800
2023-07-16 16:10:40,0.300,0.300
2023-07-16 16:10:50,0.700,0.700
2023-07-16 16:11:00,0.200,0.200
2023-07-16 16:11:10,0.500,0.500
2023-07-16 16:11:20,0.200,0.200
2023-07-16 16:11:30,0.600,0.600
2023-07-16 16:11:40,0.600,0.600
2023-07-16 16:11:50,0.500,0.500
2023-07-16 16:12:00,0.400,0.400
2023-07-16 16:12:10,0.700,0.700
2023-07-16 16:12:20,0.700,0.700
2023-07-16 16:12:30,0.500,0.500
2023-07-16 16:12:40,0.400,0.400
2023-07-16 16:12:50,0.400,0.400
2023-07-16 16:13:00,0.400,0.400
2023-07-16 16:13:10,1,1
2023-07-16 16:13:20,0.400,0.400
2023-07-16 16:13:30,0.800,0.800
2023-07-16 16:13:40,0.500,0.500
2023-07-16 16:13:50,0.600,0.600
2023-07-16 16:14:00,0.500,0.500
